claim_id,claim,document_id
000000000001,James Comey will testify next Thursday before a U.S. Senate panel investigating Russia's alleged meddling in the 2016 U.S. election.,0000
000000000002,James Comey was leading the FBI's probe into the allegations of Russia's meddling.,0000
000000000003,"Trump renewed his allegation, without citing evidence, that his campaign communications were monitored.",0000
000000010001,The United States will cease payments to the UN Green Climate Fund.,0001
000000010002,Business leaders expressed disappointment with the US withdrawal from the Paris agreement and warned of potential economic repercussions.,0001
000000010003,Democratic leaders strongly criticized Trump's decision to withdraw from the Paris agreement.,0001
000000020001,"<OUTPUT>In a speech, President Donald Trump stated that even with full compliance from all nations, the Paris Agreement would only reduce global temperatures by two-tenths of one degree Celsius by 2100.</OUTPUT>",0002
000000020002,"<OUTPUT>A study published by MIT in April 2016 titled ""How much of a difference will the Paris Agreement make?"" found that if countries adhered to their pledges, global warming would slow by between 0.6 degrees and 1.1 degrees Celsius by 2100.</OUTPUT>",0002
000000030001,James Comey will testify before the Senate Intelligence Committee on June 8th.,0003
000000030002,James Comey was fired by President Trump on May 9th.,0003
000000040001,Elon Musk resigned from Donald Trump's manufacturing jobs council because he disagreed with Trump's decision to withdraw the United States from the Paris climate accord.,0004
000000040002,General Motors Co said Chief Executive Officer Mary Barra would remain on the presidential advisory panel.,0004
000000050001,The EPA plans to offer a buyout program to reduce staff.,0005
000000050002,The EPA would see a 31 percent reduction in its budget under President Trump's 2018 budget proposal.,0005
000000060001,"During his campaign last year, Donald Trump promised to help blue-collar workers who he feels are under siege in a changing U.S. economy.",0006
000000060002,Ivanka Trump had been quietly urging her father to keep the United States in the Paris agreement.,0006
000000070001,There are differing opinions on the US withdrawal from the Paris Climate Agreement.,0007
000000070002,Political figures and leaders criticize President Trump for withdrawing from the Paris Climate Agreement.,0007
000000070003,Critics argue that the withdrawal will harm the environment and diminish US leadership in combating climate change.,0007
000000080001,<OUTPUT>Emmanuel Macron categorically ruled out any renegotiation of the Paris climate accord.</OUTPUT>,0008
000000080002,"<OUTPUT> Emmanuel Macron stated that he would not turn his back on Americans, even though the United States had turned its back on the world.</OUTPUT>",0008
000000090001,"President Donald Trump explained his decision to withdraw the United States from the Paris climate accord in phone calls on Thursday with German Chancellor Angela Merkel, French President Emmanuel Macron, Canadian Prime Minister Justin Trudeau and British Prime Minister Theresa May.",0009
000000090002,President Donald Trump reassured world leaders that America remains committed to the Transatlantic alliance and robust efforts to protect the environment.,0009
000000100001,Theresa May expressed disappointment to Donald Trump.,0010
000000100002,Theresa May remained committed to the Paris Agreement.,0010
000000110001,Rolling back expanded travel will cost airlines $512 million annually.,0011
000000110002,Cruise operators stand to lose $200 million in revenue per year.,0011
000000120001,"Lloyd Blankfein, the Chief Executive Officer of Goldman Sachs Group Inc, criticized the United States’ decision to withdraw from the Paris climate deal.",0012
000000120002,"Gary Cohn, chief economic adviser to President Donald Trump and Blankfein's former No. 2, was part of a group that advocated for staying in the Paris Agreement.",0012
000000130001,"Donald Trump spoke by phone to German Chancellor Angela Merkel, French President Emmanuel Macron, Canadian Prime Minister Justin Trudeau and British Prime Minister Theresa May.",0013
000000130002,Donald Trump spoke to these world leaders to explain his decision to withdraw from the Paris climate accord.,0013
000000140001,Steven Mnuchin said that the federal debt limit would be increased.,0014
000000140002,The Trump administration's tax reform plans aim to create economic growth.,0014
000000150001,"Italy, France, and Germany said they regretted U.S. President Donald Trump's decision to withdraw from the Paris climate accord.",0015
000000150002,"""We deem the momentum generated in Paris in December 2015 irreversible and we firmly believe that the Paris Agreement cannot be renegotiated since it is a vital instrument for our planet, societies and economies,"" the leaders of the three countries said in a rare joint statement.",0015
000000150003,"In a speech at the White House, Trump said the U.S. would look to renegotiate the agreement.",0015
000000160001,The Congressional Budget Office (CBO) found that a Republican healthcare bill would cause 23 million people to lose health insurance coverage.,0016
000000160002,"Mick Mulvaney, Director of the Office of Management and Budget (OMB), called the Congressional Budget Office's (CBO) finding on the Republican healthcare bill ""absurd.""",0016
000000160003,"Steny Hoyer, a Democratic House leader, described Mick Mulvaney's comments as ""irresponsible and unacceptable"" and an ""indication of a bully mentality.""",0016
000000170001,The United States' decision to withdraw from the landmark Paris climate agreement was a major disappointment for global efforts to reduce greenhouse gas emissions and promote global security.,0017
000000170002,"U.N. Secretary-General Antonio Guterres remains confident that cities, states and businesses within the United States - along with other countries - will continue to demonstrate vision and leadership by working for the low-carbon, resilient economic growth.",0017
000000180001,Emmanuel Macron stated that the Paris climate deal was not renegotiable.,0018
000000180002,"The United States and France will continue to work together, but not on climate issues.",0018
000000190001,Peabody Energy dropped 2.2 percent to $24.29 a share.,0019
000000190002,A source briefed on the matter told Reuters that Trump is planning to follow through on his campaign pledge,0019
000000200001,"Anne Hidalgo, the mayor of Paris, stated that President Trump is committing a mistake with dramatic and fatal consequences.",0020
000000200002,"The mayor of Paris stated that ""the great cities of the world, in particular the twelve American C40 cities"" remain resolutely committed to implementing the Paris Agreement.",0020
000000210001,The European Commission deeply regrets the United States' decision to withdraw from the Paris Agreement.,0021
000000210002,The Trump administration withdrew the United States from the Paris Agreement.,0021
000000210003,The EU will seek new alliances in response to the US withdrawal.,0021
000000220001,Former U.S. President Barack Obama criticized Donald Trump's decision to withdraw from the Paris climate agreement.,0022
000000220002,"Barack Obama expressed confidence that U.S. states, cities, and businesses will step up to protect the planet.",0022
000000230001,Jewish community centers received a series of threatening calls.,0023
000000230002,The FCC will propose revising its rules to allow law enforcement to identify threatening callers.,0023
000000230003,Michael Ron David Kadar made at least 245 threatening telephone calls between January 4th and March 7th.,0023
000000240001,President Donald Trump signed a temporary order to keep the U.S. embassy in Israel in Tel Aviv.,0024
000000240002,Trump chose to continue his predecessors' policy of signing a six-month waiver overriding a 1995 law requiring that the embassy be transferred to Jerusalem.,0024
000000250001,Adam Schiff accused Devin Nunes of violating his recusal from its Russia probe.,0025
000000250002,Adam Schiff and Michael Conaway are leading the panel's probe into alleged Russian meddling in the 2016 U.S. election.,0025
000000260001,"Nigel Farage was a ""person of interest"" in the U.S. investigation into possible collusion between Russia and Donald Trump's presidential campaign.",0026
000000260002,Nigel Farage had not been accused of wrongdoing and was not a suspect or target of the U.S. investigation.,0026
000000260003,Nigel Farage's connections with Donald Trump and Julian Assange's Wikileaks raised interest among FBI investigators.,0026
000000270001,German Chancellor Angela Merkel described the Paris climate accord as an “essential” pact.,0027
000000270002,U.S. President Donald Trump will announce later on Thursday his decision on whether to keep the United States in the landmark global pact to fight climate change.,0027
000000280001,"""Any decision to withdraw from the Paris agreement by the U.S. is not sending a good signal, even if the U.S. could remain in CORSIA and withdraw from the Paris agreement.""",0028
000000280002,"Aviation is not part of the Paris accord to fight climate change but the industry last year agreed its own deal to combat aviation pollution, also known as the Carbon Offset and Reduction Scheme for International Aviation (CORSIA).",0028
000000290001,"Israel's consistent position is that the American embassy, like the embassies of all countries with whom we have diplomatic relations, should be in Jerusalem, our eternal capital.",0029
000000290002,U.S. President Donald Trump signed a waiver to delay relocating the U.S. Embassy in Israel to Jerusalem from Tel Aviv.,0029
000000300001,The European Union stated that its position on climate change was clear.,0030
000000300002,The G7 summit in Italy revealed a division between Donald Trump and the other leaders regarding the 2015 Paris Agreement.,0030
000000310001,Anthony Kennedy will turn 81 years old in July.,0031
000000320001,The Vatican strongly backed the Paris climate change deal under Pope Francis' insistence.,0032
000000320002,"Bishop Marcelo Sanchez Sorondo said that a U.S. withdrawal from the Paris Agreement would be ""a huge slap in the face"" for the Vatican.",0032
000000320003,The United States committed to reducing its emissions by 26 to 28 percent compared with 2005 levels by 2025.,0032
000000330001,"Senators John McCain and Lindsey Graham called the new Egyptian NGO law ""draconian"" and a sign of a ""growing crackdown on human rights and peaceful dissent in Egypt"".",0033
000000330002,Egyptian lawmakers stated that the new NGO law was necessary to protect national security.,0033
000000330003,The new Egyptian NGO law introduces jail terms of up to five years for non-compliance.,0033
000000340001,Illinois is the only state in the U.S. to go nearly two straight fiscal years without a complete budget.,0034
000000340002,"As of the article's writing, Illinois has accumulated over $14 billion in unpaid bills due to the lack of a state budget.",0034
000000350001,"If President Donald Trump quits the Paris Climate Agreement, US producers will gain a competitive advantage over their European rivals.",0035
000000350002,The EU will have to respond to market distortions created by US producers gaining a competitive advantage.,0035
000000360001,Millions of immigrants targeted for arrest under the Trump administration's immigration crackdown are staying home and saving more.,0036
000000360002,"Robert Kaplan, president of the Dallas Fed, believes that increased saving among immigrants targeted by the Trump administration's crackdown will mute consumer spending and GDP growth.",0036
000000370001,Robert Kaplan stated that recent weak inflation readings are worrisome.,0037
000000370002,Robert Kaplan believes price pressures are likely building due to falling US unemployment.,0037
000000380001,The Trump administration has rolled out a new questionnaire for U.S. visa applicants worldwide that asks for social media handles for the last five years and biographical information going back 15 years.,0038
000000380002,"On May 23rd, the Office of Management and Budget approved the new questions for visa applicants despite criticism.",0038
000000390001,U.S. companies signed business deals with Vietnam worth over $8 billion on Wednesday.,0039
000000390002,"GE signed deals in Vietnam worth about $5.58 billion for power generation, aircraft engines and services.",0039
000000400001,The U.S. Commerce Department announced 13 new transactions with Vietnam worth $8 billion.,0040
000000400002,President Trump would be discussing trade with Prime Minister Phuc.,0040
000000400003,Vietnam is involved in maritime disputes with China in the South China Sea.,0040
000000410001,The White House disclosed a list of at least 11 ethics waivers which include White House adviser Kellyanne Conway and Trump's Chief of Staff Reince Priebus.,0041
000000410002,"Kellyanne Conway is permitted to participate in communications and meetings involving former clients which are political, advocacy, trade or non-profit organizations.",0041
000000420001,Joe Biden will announce the formation of a political action committee on Thursday.,0042
000000420002,"Joe Biden's political action committee, ""American Possibilities"", will be run by Greg Schultz.",0042
000000430001,CNN fired comedian Kathy Griffin from its annual New Year’s Eve broadcast on Wednesday.,0043
000000430002,"Griffin posed in photographs holding up the likeness of a severed head, which resembled President Trump.",0043
000000440001,"Representative Devin Nunes issued subpoenas to the CIA, FBI, and NSA without informing Democratic members of the committee.",0044
000000440002,"The subpoenas issued by Representative Devin Nunes related to ""unmasking"" were separate from the Russia investigation.",0044
000000450001,"<OUTPUT>U.S. Homeland Security Secretary John Kelly said he was open to discussing letting more than 50,000 victims of Haiti’s 2010 earthquake stay in the United States past next January.</OUTPUT>",0045
000000450002,<OUTPUT>Temporary Protected Status (TPS) for Haitians was implemented seven years after a 7.0-magnitude earthquake struck near Port-au-Prince in January 2010.</OUTPUT>,0045
000000460001,Hillary Clinton said she suspects President Donald Trump’s campaign gave guidance to Russian government propaganda efforts during last year’s U.S. presidential campaign.,0046
000000460002,Hillary Clinton said propaganda spread on sites such as Facebook helped cost her the election.,0046
000000470001,President Donald Trump sought to insert himself into congressional investigations on Russia.,0047
000000470002,Donald Trump supported Carter Page's request to testify before Congress regarding the Russia investigations.,0047
000000480001,President Trump is required by law to make a decision on relocating the US embassy in Israel to Jerusalem by Friday.,0048
000000480002,"Trump's administration intends to make it clear that he remains committed to his 2016 campaign promise of relocating the US embassy in Israel, but will not set a specific timetable for doing so.",0048
000000500001,Donald Trump intends to withdraw the United States from the Paris Agreement.,0050
000000500002,The United States would formally have to wait until November 2020 to withdraw from the Paris Agreement according to U.N. rules.,0050
000000500003,"Trump could shorten the formal withdrawal process from the Paris Agreement to one year by exiting the 1992 Climate Convention, its parent treaty.",0050
000000510001,Ben Jealous announced he would seek the Democratic nomination for Maryland governor.,0051
000000510002,Ben Jealous said incumbent Larry Hogan had failed to oppose Trump policies that would weaken healthcare and education as well as environmental protection of the Chesapeake Bay.,0051
000000520001,"President Donald Trump will announce his decision ""very soon"" on whether to withdraw the United States from the Paris climate deal.",0052
000000520002,President Donald Trump has been hearing from people on both sides of the issue regarding the Paris climate deal.,0052
000000530001,The White House will refer all questions about investigations into Russia's contacts with President Donald Trump's aides to outside counsel Marc Kasowitz.,0053
000000530002,"Sean Spicer, the White House spokesman told reporters that all questions on these matters would be referred to Marc Kasowitz.",0053
000000540001,Sean Spicer stated that President Donald Trump has not yet made a final decision on whether to withdraw from the Paris Accord.,0054
000000540002,"When President Donald Trump makes a decision about the Paris Accord, he will make a clear announcement.",0054
000000550001,A psychiatrist at the VA was caught watching pornography on an iPad while seeing a veteran.,0055
000000550002,"The U.S. Department of Veterans Affairs has 1,500 disciplinary actions pending.",0055
000000550003,VA buildings on average are 60 years old.,0055
000000550004,The VA spends $25 million a year maintaining 400 vacant buildings and 735 underutilized facilities.,0055
000000560001,Former FBI Director James Comey plans to confirm reports that President Donald Trump pressured him to drop an investigation into former national security adviser Michael Flynn’s ties to Russia.,0056
000000560002,"On May 19th, the Senate Intelligence Committee said that Comey would testify before the panel publicly at some point after Monday’s Memorial Day holiday.",0056
000000570001,Axios news outlet reported on Wednesday that U.S. President Donald Trump had decided to withdraw from the Paris climate agreement.,0057
000000570002,German government spokeswoman Ulrike Demmer stated she did not have information beyond what was reported about Trump's decision.,0057
000000580001,Donald Trump intends to withdraw the United States from the Paris Agreement.,0058
000000580002,The Paris Agreement aims to significantly reduce global greenhouse gas emissions.,0058
000000590001,The European Union's executive has not been forewarned about a possible U.S. withdrawal from the global deal on fighting climate change.,0059
000000590002,President Donald Trump will follow through on a campaign pledge to pull the United States out of a pact.,0059
000000600001,President Donald Trump will pull the United States out of a global pact to fight climate change.,0060
000000600002,"U.S. carbon emissions fell to 5,135 million metric tons in 2017 from 5,171 million metric tons in 2016.",0060
000000610001,Europe must make clear to the United States that quitting the Paris climate agreement is not a straightforward process.,0061
000000610002,It would take several years for the U.S. to extricate itself from the obligations of the Paris climate agreement.,0061
000000620001,The Trump administration is considering broadening the Obamacare limits on claiming a religious or moral exemption from providing health insurance that covers birth control.,0062
000000620002,"Under the 2010 Affordable Care Act, employers are required to provide health insurance that covers birth control except for religious houses of worship, which are exempt.",0062
000000630001,The Paris accord is a political agreement.,0063
000000630002,National commitments are voluntary and may be amended.,0063
000000640001,Finland’s Prime Minister Juha Sipila believes that a US withdrawal from the Paris climate deal would be a big setback.,0064
000000640002,Climate change is a priority for Finland in both the Arctic Council and the European Union.,0064
000000650001,The European Commission stood ready to take global leadership on the Paris climate deal if the United States withdrew.,0065
000000650002,Maros Sefcovic believes that a US withdrawal from the Paris climate deal would be disappointing but not alter the course of mankind.,0065
000000660001,Mike Dubke resigned as U.S. President Donald Trump's communication director.,0066
000000660002,Mike Dubke gave no reason for leaving his position as communication director.,0066
000000660003,"Trump plans to bring in new aides to the White House, including a former campaign manager.",0066
000000670001,Michael Flynn's representatives told the Senate Intelligence Committee they would start turning over some subpoenaed documents.,0067
000000670002,The Senate Intelligence Committee issued subpoenas to two of Flynn's businesses after Flynn declined to comply with a subpoena issued to him personally.,0067
000000680001,"Donald Trump called Germany’s trade and spending policies ""very bad"" on Tuesday.",0068
000000680002,The United States has a massive trade deficit with Germany.,0068
000000690001,U.S. President Donald Trump views Germany as an important ally.,0069
000000690002,U.S. President Donald Trump gets along very well with German Chancellor Angela Merkel.,0069
000000700001,The U.S. House Intelligence Committee has not issued a subpoena to Michael Cohen.,0070
000000700002,Michael Cohen stated he was asked to provide information and testimony to investigators in the House and Senate.,0070
000000710001,President Donald Trump was scheduled to interview James Pistole and Chris Wray on Tuesday.,0071
000000710002,Donald Trump fired James Comey on May 9.,0071
000000720001,U.S. Secretary of State Rex Tillerson authorized the State Department to notify Congress of the Trump administration’s sale of precision-guided munitions for Saudi Arabia.,0072
000000720002,This notification triggers a formal 30-day review by Congress to allow members to attempt to pass legislation to stop any sale.,0072
000000730001,Donald Trump called for the U.S. Senate to switch to 51 votes to pass healthcare and tax cuts.,0073
000000730002,"Earlier this month, Senate Majority Leader Mitch McConnell rejected Donald Trump's idea for the U.S. Senate to switch to 51 votes.",0073
000000740001,Congressional investigations into alleged Russian meddling in the 2016 U.S. election have expanded to include Michael Cohen.,0074
000000740002,Michael Cohen confirmed he had been asked to provide information and testimony to investigators.,0074
000000750001,Relations between Berlin and Washington are in a difficult phase.,0075
000000750002,Sigmar Gabriel believes that relations between the United States and Germany will improve in the future.,0075
000000760001,"Section 702 allows U.S. intelligence agencies to collect communications from foreigners, but it may also incidentally collect some data belonging to Americans.",0076
000000760002,A bipartisan group of lawmakers in the House Judiciary Committee is drafting legislation to address the concerns raised by technology companies about Section 702.,0076
000000770001,The U.S. appeals court ruled on Ohio's voter registration policy.,0077
000000770002,The National Voter Registration Act was passed to make it easier for Americans to register to vote.,0077
000000770003,"In Ohio's three largest counties, voters were struck from the rolls in Democratic-leaning neighborhoods at roughly twice the rate as in Republican neighborhoods under the policy according to a Reuters analysis.",0077
000000780001,Chuck Grassley requested an investigation into potentially fraudulent statements and misrepresentations made by companies promoting investment in a property development involving the family company of White House advisor Jared Kushner.,0078
000000780002,"Chinese investors account for around 80 percent of the nearly 10,000 EB-5 visas issued annually.",0078
000000790001,"Republican U.S. Senator John McCain said on Tuesday that China is behaving like a bully with its militarization of islands in the South China Sea, and that Washington must confront this with its allies to find a peaceful solution.",0079
000000790002,"The United States estimates Beijing has added more than 3,200 acres (1,300 hectares) of land on seven features in the South China Sea over the past three years.",0079
000000800001,The Trump administration is nearing completion of a policy review to determine how far it goes in rolling back former President Barack Obama's engagement with Cuba.,0080
000000800002,President Donald Trump's advisers are crafting recommendations that could call for tightening some of the trade and travel rules that Obama eased in his rapprochement with Havana.,0080
000000810001,Republican Matt Rinaldi said he was physically assaulted by a Democratic colleague.,0081
000000810002,Governor Greg Abbott signed a bill targeting cities providing sanctuary to illegal immigrants into law on May 7th.,0081
000000810003,Texas has an estimated 1.5 million illegal immigrants.,0081
000000820001,John McCain believes Vladimir Putin is a bigger threat to global security than ISIS.,0082
000000820002,The U.S. Senate intends to push for sanctions against Russia for its alleged interference in the U.S. election.,0082
000000830001,Tillerson declined to host a reception for Eid al-Fitr.,0083
000000830002,The State Department celebrates other religious traditions besides Ramadan.,0083
000000830003,Muslim-American groups have not yet received invitations to the State Department's Ramadan event this year.,0083
000000830004,Trump has had a difficult relationship with the Muslim community in the past.,0083
000000840001,Trump associates had contact with Russian officials during the campaign.,0084
000000840002,U.S. intelligence agencies concluded that Russia interfered in the election to help Trump.,0084
000000840003,Jared Kushner attempted to establish a secret communication channel with Russian officials.,0084
000000840004,White House officials defended the concept of secret communications channels.,0084
000000850001,The United States might ban laptops from aircraft cabins on all flights into and out of the country.,0085
000000850002,"In March, the government imposed restrictions on large electronic devices in aircraft cabins on flights from 10 airports, including the United Arab Emirates, Qatar, and Turkey.",0085
000000860001,National Security Adviser H.R. McMaster stated that back-channeling was normal.,0086
000000860002,"According to H.R. McMaster, back-channel communications allow for discreet communication.",0086
000000870001,FBI investigators are examining whether Russians suggested to Kushner or other Trump aides that relaxing economic sanctions would allow Russian banks to offer financing to people with ties to Trump.,0087
000000870002,"The head of Russian state-owned Vnesheconombank, Sergei Nikolaevich Gorkov, a trained intelligence officer whom Putin appointed, met Kushner at Trump Tower in December. The bank is under U.S. sanctions and was implicated in a 2015 espionage case in which one of its New York executives pleaded guilty to spying and was jailed.  The bank said in a statement in March that it had met with Kushner along with other representatives of U.S. banks and business as part of preparing a new corporate strategy.",0087
000000880001,Donald Trump ended a nine-day overseas journey.,0088
000000880002,Donald Trump flipped traditional U.S. foreign policy upside down on his tour through the Middle East and Europe.,0088
000000880003,"At a Group of Seven summit, Donald Trump refused to maintain U.S. support for the Paris climate agreement.",0088
000000890001,Zbigniew Brzezinski helped found the Trilateral Commission.,0089
000000890002,Brzezinski and Cyrus Vance were rivals for President Carter's attention.,0089
000000890003,Brzezinski favored military action to rescue the American hostages in Iran.,0089
000000890004,Brzezinski supported the SALT-2 arms control accord.,0089
000000900001,President Donald Trump ordered a temporary travel ban on March 6th.,0090
000000900002,"The American Civil Liberties Union (ACLU) represented refugee groups challenging the travel ban, arguing it violated the Constitution.",0090
000000910001,H.R. McMaster said President Donald Trump supports NATO's mutual defense doctrine.,0091
000000910002,"During a visit to Brussels, Donald Trump did not explicitly mention his support for Article 5.",0091
000000920001,Texas Governor Greg Abbott joked about carrying a bullet-pocked target if he saw reporters.,0092
000000920002,"The bill signed by Texas Governor Greg Abbott will reduce the cost of a first-time handgun license from $140 to $40 and lower the renewal fee from $70 to $40, effective in September.",0092
000000930001,Oleg Deripaska offered to testify to congressional panels investigating Russian meddling in the 2016 election.,0093
000000930002,Oleg Deripaska offered to testify in exchange for full immunity from prosecution.,0093
000000940001,The Office of Management and Budget requested a stay of the Office of Government Ethics' request for information on lobbyists working in the administration.,0094
000000940002,"Walter Shaub called the OMB's request ""highly unusual.""",0094
000000950001,The Senate Intelligence Committee is investigating Russian meddling in the US 2016 election.,0095
000000950002,The Senate Intelligence Committee asked Donald Trump's political organization for all documents dating back to the campaign launch in June 2015.,0095
000000960001,President Donald Trump ordered the Interior Department to review 27 national monuments created since 1996.,0096
000000960002,"As of Friday, more than 107,000 comments were received on the national monument review.",0096
000000960003,The public had until May 26 to comment on Bears Ears National Monument.,0096
000000970001,Trump is frustrated with his communications team for not effectively portraying him as uninvolved in the Russia probe.,0097
000000970002,Trump is planning to travel more and hold political rallies.,0097
000000980001,John Boehner has known Donald Trump for 15 years.,0098
000000980002,"John Boehner stated that everything Donald Trump has done besides foreign affairs ""has been a complete disaster.""",0098
000000990001,John F. Kennedy spent his mid-teens at Connecticutâs elite Choate Rosemary Hall.,0099
000000990002,"John F. Kennedy excelled at history and literature but infuriated the school headmaster by organizing pranks as part of a club called ""The Muckers"".",0099
000000990003,John F. Kennedy recounts being shot at after calling an old farmer a bad name.,0099
000001000001,Hillary Clinton criticized a budget proposal that would cut $3.6 trillion in government spending over the next decade.,0100
000001000002,"According to Hillary Clinton, the proposed budget cuts would impact public education, mental health programs, and efforts to combat the opioid epidemic.",0100
000001010001,Greg Gianforte won Montana's seat in the U.S. House of Representatives.,0101
000001010002,Greg Gianforte grabbed Ben Jacobs by the neck with both hands and slammed him to the ground.,0101
000001020001,U.S. Secretary of State Rex Tillerson said that the U.S. government takes full responsibility for the leaks of British police investigation into the Manchester bombing.,0102
000001020002,British police briefly suspended intelligence sharing with the United States after private details of their investigation repeatedly appeared in American media.,0102
000001030001,"Jared Kushner, a senior White House adviser, is under scrutiny by the FBI in the Russia probe.",0103
000001030002,Kushner is being investigated because of his meetings in December and other possible interactions with the Russian ambassador and a banker from Moscow.,0103
000001030003,Several congressional committees are looking into allegations of meddling by Russia in the 2016 U.S. election.,0103
000001040001,A U.S. appeals court refused to reinstate President Donald Trump's travel ban.,0104
000001040002,"Judge Dennis Shedd dissented, stating that ""the real losers in this case are the millions of individual Americans whose security is threatened on a daily basis by those who seek to do us harm.""",0104
000001050001,The United States issued about 50 percent fewer visitor visas in April to citizens of seven countries covered by President Donald Trump's temporary travel bans than it did in an average month last year.,0105
000001050002,The total number of U.S. non-immigrant visas issued to people from all countries was about 15 percent lower in April compared with the 2016 monthly average.,0105
000001060001,Donald Trump accused NATO allies of not spending enough on defense.,0106
000001060002,NATO allies agreed to a target of spending 2 percent of their economic output annually on defense by 2024.,0106
000001070001,A bipartisan group of U.S. senators reintroduced legislation to repeal all restrictions on travel to Cuba.,0107
000001070002,The Freedom to Travel to Cuba Act was introduced in 2015 by eight Republican and Democratic co-sponsors.,0107
000001070003,The latest measure attracted 55 co-sponsors.,0107
000001080001,The last Green Book was issued by the Obama administration in February 2016.,0108
000001080002,"On April 26, the Trump administration released a one-page list of tax proposals summarized in 12 bullet points.",0108
000001090001,The American Civil Liberties Union sued the U.S. Department of Homeland Security on Thursday.,0109
000001090002,"There have been hunger strikes at U.S. Immigration and Customs Enforcement (ICE) detention centers in Georgia, Oregon and Washington in recent weeks.",0109
000001090003,"From April 1-22, an average of 36,235 immigrants were in detention per day.",0109
000001100001,<OUTPUT>U.S. lawmakers introduced legislation on Thursday seeking to stop at least a portion of President Donald Trump's sale of weapons to Saudi Arabia.</OUTPUT>,0110
000001100002,"<OUTPUT>The arms deal includes $110 billion of U.S. arms, with options running as high as $350 billion over 10 years.</OUTPUT>",0110
